esfuerzo,Prueba,meditacion,reposo
-0.586250863,1.0,-0.014059443,-0.134227909
-0.579884343,2.0,-0.016606051,-0.102395307
-0.535318699,3.0,-0.016606051,-0.096028786
-0.484386535,4.0,-0.016606051,-0.096028786
-0.471653495,5.0,-0.015969399,-0.076929225
-0.427087851,6.0,-0.013422791,-0.089662266
-0.344323085,7.0,-0.011512835,-0.083295745
-0.318857003,8.0,-0.010239531,-0.076929225
-0.248825278,9.0,-0.029975744,-0.057829663
-0.216992675,10.0,-0.024882528,-0.064196184
-0.178793553,11.0,-0.033795656,-0.070562704
-0.178793553,12.0,-0.026155832,-0.051463143
-0.178793553,13.0,-0.029339092,-0.051463143
-0.204259634,14.0,-0.032522352,-0.051463143
-0.159693991,15.0,-0.017879355,-0.057829663
-0.14696095,16.0,-0.036342265,-0.064196184
-0.121494868,17.0,-0.029339092,-0.064196184
-0.14059443,18.0,-0.031249048,-0.070562704
-0.134227909,19.0,-0.030612396,-0.051463143
-0.115128348,20.0,-0.02870244,-0.051463143
-0.076929225,21.0,-0.036978917,-0.045096623
-0.102395307,22.0,-0.035705613,-0.038730102
-0.108761827,23.0,-0.029975744,-0.057829663
-0.127861389,24.0,-0.036342265,-0.051463143
-0.102395307,25.0,-0.029339092,-0.076929225
-0.083295745,26.0,-0.031249048,-0.057829663
-0.115128348,27.0,-0.033795656,-0.057829663
-0.108761827,28.0,-0.038252221,-0.064196184
-0.102395307,29.0,-0.030612396,-0.051463143
-0.102395307,30.0,-0.026155832,-0.051463143
-0.096028786,31.0,-0.030612396,-0.051463143
-0.076929225,32.0,-0.02551918,-0.025997061
-0.076929225,33.0,-0.020425963,-0.045096623
-0.070562704,34.0,-0.019789311,-0.025997061
-0.045096623,35.0,-0.02233592,-0.019630541
-0.057829663,36.0,-0.017242703,-0.01326402
-0.032363582,37.0,-0.021699268,-0.000530979
-0.019630541,38.0,-0.015969399,-0.000530979
-0.000530979,39.0,-0.011512835,0.018568582
0.012202062,40.0,-0.011512835,0.044034664
0.037668144,41.0,-0.005146314,0.050401185
0.031301623,42.0,0.001856858,0.050401185
0.012202062,43.0,0.010769987,0.063134226
