Reposo,Esfuerzo,Meditacion,Abriendo Cerrando ojos Cerebro,Abriendo Cerrando ojos  Corazon,AYB Cerebro,AYB Corazon ,Meditando Cerebro,Meditando Corazon,MeditandoSeg
-0.134227909,-0.586250863,-0.014059443,0.019046464,-0.031169078,-0.015969399,-0.019074316,0.026049636,0.136247899,0.007586727
-0.102395307,-0.579884343,-0.016606051,0.025412984,-0.030532512,-0.022972572,-0.020347448,0.019046464,0.162347123,0.016499855
-0.096028786,-0.535318699,-0.016606051,0.038146025,-0.024803414,-0.029975744,-0.017801183,0.026686288,0.178261285,0.003766814
-0.096028786,-0.484386535,-0.016606051,0.034962765,-0.026713113,-0.007692922,-0.021620581,0.018409811,0.189719481,-0.001963054
-0.076929225,-0.471653495,-0.015969399,0.029232896,-0.031805645,-0.009602879,-0.021620581,0.023503028,0.193538879,0.012679943
-0.089662266,-0.427087851,-0.013422791,0.020319768,-0.033715344,-0.015332747,-0.020347448,0.013316595,0.184626949,0.006950075
-0.083295745,-0.344323085,-0.011512835,0.013316595,-0.031805645,-0.014696095,-0.019074316,0.001220206,0.145159829,0.012043291
-0.076929225,-0.318857003,-0.010239531,0.022866376,-0.029895945,-0.013422791,-0.019074316,-5.31E-05,0.109512108,0.011406639
-0.057829663,-0.248825278,-0.029975744,0.022866376,-0.026076547,-0.021699268,-0.022893714,0.004403466,0.078956918,0.012679943
-0.064196184,-0.216992675,-0.024882528,0.02095642,-0.028622812,-0.021699268,-0.026713113,0.013953247,0.037580099,0.00249351
-0.070562704,-0.178793553,-0.033795656,0.036872721,-0.031805645,-0.021062615,-0.022893714,0.009496683,0.003842077,0.003130162
-0.051463143,-0.178793553,-0.026155832,0.035599417,-0.030532512,-0.019789311,-0.027986246,0.021593072,-0.026076547,-0.013422791
-0.051463143,-0.178793553,-0.029339092,0.050242414,-0.03435191,-0.023609224,-0.026076547,0.010133335,-0.046446673,0.003766814
-0.051463143,-0.204259634,-0.032522352,0.044512545,-0.032442211,-0.021062615,-0.027349679,0.018409811,-0.050902638,-0.008329575
-0.057829663,-0.159693991,-0.017879355,0.041965937,-0.031805645,-0.021062615,-0.027986246,0.013953247,-0.051539205,-5.31E-05
-0.064196184,-0.14696095,-0.036342265,0.037509373,-0.031805645,-0.026792484,-0.018437749,0.015863203,-0.069363065,-0.005782966
-0.064196184,-0.121494868,-0.029339092,0.040055981,-0.03435191,-0.010876183,-0.017164616,0.006313423,-0.07572873,0.00249351
-0.070562704,-0.14059443,-0.031249048,0.036236069,-0.033078778,-0.015332747,-0.017164616,0.019046464,-0.078911562,-0.005146314
-0.051463143,-0.134227909,-0.030612396,0.040055981,-0.030532512,-0.017879355,-0.018437749,0.013953247,-0.068726499,-0.00068975
-0.051463143,-0.115128348,-0.02870244,0.033689461,-0.034988477,-0.020425963,-0.019710882,0.016499855,-0.076365296,-0.005146314
-0.045096623,-0.076929225,-0.036978917,0.036872721,-0.033715344,-0.013422791,-0.020984015,0.014589899,-0.069363065,0.005040118
-0.038730102,-0.102395307,-0.035705613,0.029869548,-0.031169078,-0.024245876,-0.020984015,0.020319768,-0.068726499,-0.011512835
-0.057829663,-0.108761827,-0.029975744,0.033052809,-0.026076547,-0.022972572,-0.022893714,0.016499855,-0.065543667,-0.015332747
-0.051463143,-0.127861389,-0.036342265,0.037509373,-0.023530281,-0.016606051,-0.020984015,0.022866376,-0.068089932,-0.008966227
-0.076929225,-0.102395307,-0.029339092,0.034962765,-0.02543998,-0.013422791,-0.022257148,0.017773159,-0.067453366,-0.006419618
