reposo,esfuerzo,meditacion
-0.134227909,-0.586250863,-0.014059443
-0.102395307,-0.579884343,-0.016606051
-0.096028786,-0.535318699,-0.016606051
-0.096028786,-0.484386535,-0.016606051
-0.076929225,-0.471653495,-0.015969399
-0.089662266,-0.427087851,-0.013422791
-0.083295745,-0.344323085,-0.011512835
-0.076929225,-0.318857003,-0.010239531
-0.057829663,-0.248825278,-0.029975744
-0.064196184,-0.216992675,-0.024882528
-0.070562704,-0.178793553,-0.033795656
-0.051463143,-0.178793553,-0.026155832
-0.051463143,-0.178793553,-0.029339092
-0.051463143,-0.204259634,-0.032522352
-0.057829663,-0.159693991,-0.017879355
-0.064196184,-0.14696095,-0.036342265
-0.064196184,-0.121494868,-0.029339092
-0.070562704,-0.14059443,-0.031249048
-0.051463143,-0.134227909,-0.030612396
-0.051463143,-0.115128348,-0.02870244
-0.045096623,-0.076929225,-0.036978917
-0.038730102,-0.102395307,-0.035705613
-0.057829663,-0.108761827,-0.029975744
-0.051463143,-0.127861389,-0.036342265
-0.076929225,-0.102395307,-0.029339092
-0.057829663,-0.083295745,-0.031249048
-0.057829663,-0.115128348,-0.033795656
-0.064196184,-0.108761827,-0.038252221
-0.051463143,-0.102395307,-0.030612396
-0.051463143,-0.102395307,-0.026155832
-0.051463143,-0.096028786,-0.030612396
-0.025997061,-0.076929225,-0.02551918
-0.045096623,-0.076929225,-0.020425963
-0.025997061,-0.070562704,-0.019789311
-0.019630541,-0.045096623,-0.02233592
-0.01326402,-0.057829663,-0.017242703
-0.000530979,-0.032363582,-0.021699268
-0.000530979,-0.019630541,-0.015969399
0.018568582,-0.000530979,-0.011512835
0.044034664,0.012202062,-0.011512835
0.050401185,0.037668144,-0.005146314
0.050401185,0.031301623,0.001856858
0.063134226,0.012202062,0.010769987
0.088600307,0.037668144,0.004403466
0.075867267,0.024935103,-0.00387301
0.101333348,0.037668144,0.005040118
0.075867267,0.018568582,-0.00068975
0.101333348,0.056767705,0.007586727
0.101333348,0.050401185,0.000583554
0.12043291,0.082233787,0.015863203
0.12043291,0.114066389,0.008860031
0.12679943,0.12679943,0.010133335
0.12043291,0.12679943,-0.001963054
0.12679943,0.12679943,0.001856858
0.12679943,0.158632033,0.001856858
0.101333348,0.158632033,-0.00068975
0.107699869,0.190464635,-0.001963054
0.107699869,0.222297238,-0.00705627
0.107699869,0.215930717,-0.005782966
0.094966828,0.235030278,0.006950075
0.107699869,0.247763319,-0.005782966
0.101333348,0.247763319,-0.007692922
0.107699869,0.235030278,-0.014059443
0.094966828,0.215930717,-0.012786139
0.094966828,0.203197676,-0.005146314
0.063134226,0.196831156,-0.008329575
0.082233787,0.184098115,-0.015332747
0.056767705,0.184098115,-0.008966227
0.044034664,0.184098115,-0.015332747
0.044034664,0.158632033,-0.010876183
0.024935103,0.152265512,-0.015969399
-0.0068975,0.12679943,-0.015332747
-0.019630541,0.101333348,-0.021062615
-0.045096623,0.082233787,-0.013422791
-0.051463143,0.056767705,-0.02551918
-0.076929225,0.037668144,-0.022972572
-0.102395307,0.044034664,-0.02233592
-0.121494868,-0.000530979,-0.022972572
-0.153327471,-0.025997061,-0.024882528
-0.153327471,-0.057829663,-0.021062615
-0.166060512,-0.108761827,-0.02870244
-0.159693991,-0.127861389,-0.021062615
-0.178793553,-0.153327471,-0.016606051
-0.172427032,-0.153327471,-0.017879355
-0.210626155,-0.14059443,-0.013422791
-0.236092237,-0.166060512,-0.005782966
-0.248825278,-0.14696095,-0.010239531
-0.255191798,-0.159693991,-0.006419618
-0.267924839,-0.172427032,-0.005146314
-0.255191798,-0.223359196,-0.001963054
-0.293390921,-0.210626155,0.000583554
-0.27429136,-0.197893114,0.011406639
-0.267924839,-0.210626155,0.004403466
-0.261558319,-0.178793553,0.009496683
-0.267924839,-0.178793553,0.005040118
-0.255191798,-0.210626155,0.010133335
-0.261558319,-0.210626155,0.008860031
-0.27429136,-0.191526594,0.00249351
-0.255191798,-0.178793553,0.003130162
-0.267924839,-0.166060512,0.001856858
-0.255191798,-0.178793553,0.007586727
-0.261558319,-0.134227909,0.004403466
-0.255191798,-0.153327471,-5.31E-05
-0.267924839,-0.166060512,0.004403466
-0.267924839,-0.14696095,-0.001326402
-0.267924839,-0.166060512,0.000583554
-0.236092237,-0.14059443,0.001856858
-0.255191798,-0.127861389,-0.003236358
-0.255191798,-0.134227909,-0.001326402
-0.261558319,-0.108761827,-0.002599706
-0.242458757,-0.127861389,-0.003236358
-0.229725716,-0.14059443,-5.31E-05
-0.223359196,-0.134227909,-0.007692922
-0.242458757,-0.102395307,-0.015332747
-0.242458757,-0.108761827,-0.010876183
-0.216992675,-0.070562704,-0.015332747
-0.242458757,-0.083295745,-0.015332747
-0.242458757,-0.057829663,-0.017242703
-0.248825278,-0.064196184,-0.007692922
-0.242458757,-0.076929225,-0.014696095
-0.242458757,-0.083295745,-0.026155832
-0.242458757,-0.096028786,-0.032522352
-0.248825278,-0.096028786,-0.035705613
-0.242458757,-0.108761827,-0.02551918
-0.236092237,-0.134227909,-0.021699268
-0.216992675,-0.14696095,-0.016606051
-0.210626155,-0.134227909,-0.02551918
-0.229725716,-0.166060512,-0.019152659
-0.204259634,-0.153327471,-0.014696095
-0.204259634,-0.153327471,-0.021062615
-0.216992675,-0.172427032,-0.02551918
-0.197893114,-0.166060512,-0.024882528
-0.185160073,-0.166060512,-0.017879355
-0.191526594,-0.178793553,-0.006419618
-0.197893114,-0.166060512,-0.012149487
-0.178793553,-0.178793553,-0.006419618
-0.166060512,-0.172427032,-0.004509662
-0.178793553,-0.191526594,-0.010876183
-0.14696095,-0.210626155,-0.008329575
-0.172427032,-0.248825278,-0.013422791
-0.14059443,-0.28065788,-0.011512835
-0.134227909,-0.242458757,-0.015969399
-0.134227909,-0.242458757,-0.007692922
-0.134227909,-0.248825278,-5.31E-05
-0.134227909,-0.229725716,-5.31E-05
-0.115128348,-0.204259634,0.001220206
-0.108761827,-0.216992675,-0.011512835
-0.115128348,-0.197893114,-0.011512835
-0.108761827,-0.210626155,-5.31E-05
-0.121494868,-0.197893114,-0.012149487
-0.115128348,-0.236092237,0.00249351
-0.108761827,-0.223359196,0.004403466
-0.108761827,-0.261558319,0.006313423
-0.108761827,-0.27429136,0.005676771
-0.134227909,-0.337956564,0.006950075
-0.115128348,-0.388888728,0.000583554
-0.14059443,-0.452553933,0.000583554
-0.134227909,-0.458920454,0.003766814
-0.134227909,-0.433454372,-5.31E-05
-0.159693991,-0.420721331,0.008860031
-0.191526594,-0.363422646,0.014589899
-0.185160073,-0.28065788,0.012043291
-0.159693991,-0.153327471,0.006950075
-0.178793553,0.056767705,0.004403466
-0.172427032,0.432392413,-0.004509662
-0.197893114,0.636121069,-0.00387301
-0.197893114,0.693419753,-0.005146314
-0.204259634,0.782551039,-0.00068975
-0.185160073,0.706152794,-0.00068975
-0.204259634,0.228663758,0.003130162
-0.204259634,-0.267924839,-0.00068975
-0.204259634,-0.40798829,-0.00705627
-0.197893114,-0.522585658,-0.001326402
-0.210626155,-0.573517822,-0.006419618
-0.204259634,-0.637183027,-0.008329575
-0.210626155,-0.567151302,-0.010239531
-0.204259634,-0.535318699,-0.009602879
-0.210626155,-0.484386535,-0.013422791
-0.216992675,-0.446187413,-0.007692922
-0.210626155,-0.446187413,-0.023609224
-0.223359196,-0.395255249,-0.020425963
-0.236092237,-0.337956564,-0.010876183
-0.216992675,-0.28065788,-0.013422791
-0.216992675,-0.248825278,-0.017242703
-0.210626155,-0.191526594,-0.015969399
-0.216992675,-0.178793553,-0.010239531
-0.229725716,-0.166060512,-0.002599706
-0.229725716,-0.172427032,-0.018516007
-0.229725716,-0.153327471,-0.005146314
-0.216992675,-0.127861389,-0.010876183
-0.216992675,-0.134227909,-0.020425963
-0.229725716,-0.096028786,-0.017242703
-0.229725716,-0.108761827,-0.014696095
-0.223359196,-0.115128348,-0.010239531
-0.267924839,-0.102395307,0.00249351
-0.312490483,-0.096028786,0.005040118
-0.350689605,-0.102395307,-0.001963054
-0.41435481,-0.102395307,-0.003236358
-0.427087851,-0.096028786,-0.013422791
-0.433454372,-0.108761827,-0.004509662
-0.420721331,-0.108761827,-0.008329575
-0.382522208,-0.083295745,-0.007692922
-0.331590044,-0.089662266,-0.007692922
-0.236092237,-0.051463143,-0.00705627
-0.083295745,-0.076929225,-0.001963054
0.12043291,-0.051463143,0.010133335
0.375093729,-0.051463143,0.001856858
0.801650601,-0.032363582,0.001856858
0.839849724,-0.038730102,0.004403466
0.884415367,-0.051463143,0.009496683
0.909881449,-0.01326402,0.013953247
0.629754548,-0.025997061,-0.001326402
0.082233787,-0.01326402,0.012043291
-0.382522208,-0.000530979,0.013316595
-0.452553933,-0.000530979,0.010769987
-0.503486097,0.005835541,0.012679943
-0.535318699,0.012202062,0.020319768
-0.490753056,0.037668144,0.025412984
-0.452553933,0.018568582,0.013953247
-0.388888728,0.037668144,0.020319768
-0.395255249,0.024935103,0.006313423
-0.350689605,0.037668144,0.013953247
-0.331590044,0.050401185,0.007586727
-0.357056126,0.069500746,0.008223379
-0.325223524,0.069500746,0.011406639
-0.267924839,0.063134226,0.014589899
-0.236092237,0.088600307,0.012679943
-0.236092237,0.082233787,0.006950075
-0.236092237,0.101333348,0.007586727
-0.210626155,0.12679943,0.015226551
-0.229725716,0.145898992,0.010133335
-0.216992675,0.164998553,0.009496683
-0.236092237,0.209564197,0.006950075
-0.216992675,0.222297238,0.015863203
-0.229725716,0.25412984,0.005040118
-0.204259634,0.25412984,-5.31E-05
-0.204259634,0.26049636,0.007586727
-0.197893114,0.25412984,0.010133335
-0.191526594,0.209564197,-0.002599706
-0.197893114,0.228663758,-0.010239531
-0.178793553,0.209564197,-0.012786139
-0.185160073,0.196831156,-0.012786139
-0.178793553,0.196831156,-0.008329575
-0.166060512,0.171365074,0.000583554
-0.172427032,0.12679943,-0.002599706
-0.172427032,0.12043291,-0.006419618
-0.159693991,0.107699869,-0.010239531
-0.159693991,0.101333348,-0.004509662
-0.166060512,0.094966828,-0.014696095
-0.153327471,0.063134226,-0.017879355
-0.159693991,0.044034664,-0.018516007
-0.14696095,0.018568582,-0.018516007
-0.153327471,-0.0068975,-0.008329575
-0.153327471,-0.032363582,-0.021062615
-0.172427032,-0.057829663,-0.024245876
-0.14696095,-0.108761827,-0.018516007
-0.14059443,-0.127861389,-0.013422791
-0.14059443,-0.134227909,-0.019789311
-0.14696095,-0.14696095,-0.017879355
-0.134227909,-0.159693991,-5.31E-05
-0.159693991,-0.166060512,-0.00068975
-0.14696095,-0.178793553,0.004403466
-0.153327471,-0.14696095,0.006313423
-0.127861389,-0.153327471,0.009496683
-0.14696095,-0.159693991,0.006950075
-0.127861389,-0.178793553,0.007586727
-0.134227909,-0.178793553,0.011406639
-0.115128348,-0.197893114,0.009496683
-0.127861389,-0.216992675,0.016499855
-0.115128348,-0.210626155,0.016499855
-0.134227909,-0.204259634,0.013953247
-0.121494868,-0.178793553,0.005676771
-0.108761827,-0.166060512,-5.31E-05
-0.127861389,-0.172427032,0.004403466
-0.108761827,-0.159693991,0.009496683
-0.134227909,-0.166060512,0.008223379
-0.096028786,-0.166060512,0.010769987
-0.076929225,-0.185160073,0.008860031
-0.070562704,-0.185160073,0.001856858
-0.070562704,-0.185160073,0.006950075
-0.083295745,-0.172427032,0.010133335
-0.064196184,-0.172427032,0.02095642
-0.064196184,-0.159693991,0.015226551
-0.057829663,-0.172427032,0.019683116
-0.051463143,-0.166060512,0.014589899
-0.051463143,-0.172427032,0.003766814
-0.045096623,-0.153327471,0.008860031
-0.032363582,-0.14059443,-0.00068975
-0.025997061,-0.127861389,-0.001963054
-0.0068975,-0.14059443,0.013953247
-0.01326402,-0.083295745,0.010769987
-0.025997061,-0.076929225,0.006950075
-0.000530979,-0.102395307,-0.007692922
0.005835541,-0.076929225,-0.001326402
0.012202062,-0.134227909,-0.011512835
0.024935103,-0.115128348,-0.005782966
0.018568582,-0.076929225,-0.007692922
0.031301623,-0.102395307,-0.003236358
0.037668144,-0.096028786,-0.008329575
0.037668144,-0.102395307,-0.016606051
0.050401185,-0.127861389,-0.013422791
0.069500746,-0.14059443,-0.011512835
0.044034664,-0.172427032,-0.020425963
0.056767705,-0.159693991,-0.012786139
0.050401185,-0.178793553,-0.013422791
0.044034664,-0.185160073,-0.009602879
0.050401185,-0.210626155,-0.010239531
0.056767705,-0.223359196,-0.007692922
0.050401185,-0.242458757,-0.00705627
